,ID,Region,Main Source of Income,Agricultural Household indicator,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Walls,House Floor Area,House Age,Number of bedrooms,Electricity,Total Household Income,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
39778,23,Q,Wage/Salaries,0,Male,41,Married,Worked for government/government corporation,Extended Family,6,0,3,2,Single house,Quite Strong,52,17,1,1,668708,95538,29256,22323,8447,11894,3555,4579,17090,265,0,31480,41970,27000,7400,18558,8400,18200,62946,0,0,68500,1,0,1,1,0,2,0,0,5,1,1,0,2
5217,1711,C,Enterpreneurial Activities,0,Male,64,Married,Self-employed wihout any employee,Extended Family,6,1,1,0,Single house,Strong,50,36,2,1,668430,143950,26471,19800,15338,26252,5545,5810,35320,0,38191,23375,88194,54000,13512,24000,21000,53000,12534,0,0,585008,2,1,0,1,1,2,1,1,3,1,0,0,0
36681,297,O,Wage/Salaries,0,Male,62,Married,Worked for government/government corporation,Single Family,2,0,0,1,Single house,Strong,36,23,3,1,668132,68566,11194,7436,15720,16994,7370,6440,0,0,0,2400,100800,57000,37950,28056,27444,0,58332,9000,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
33760,1506,N,Wage/Salaries,2,Male,48,Married,,Extended Family,6,1,0,3,Multi-unit residential,Strong,64,25,2,1,667800,188448,30060,25864,11856,8810,4369,6575,22200,0,0,9190,93720,48000,3920,55434,22260,37000,43920,2500,0,0,1,1,1,1,1,0,0,0,5,0,1,0,0
26024,901,K,Other sources of Income,0,Male,76,Widowed,,Extended Family,6,0,1,3,Single house,Strong,110,43,4,1,667661,163820,42456,36291,17350,12004,2977,4341,58000,320,0,7620,158520,114000,3810,34044,29520,46000,25476,20000,0,0,4,2,1,1,1,1,0,1,8,3,1,0,1
9088,259,E,Wage/Salaries,0,Male,58,Married,Worked for government/government corporation,Single Family,3,0,0,3,Single house,Strong,65,24,2,1,667541,162095,42704,33300,8664,15994,7649,8428,48400,0,585,14505,70740,18000,1120,31020,3600,0,86580,7300,0,0,1,2,0,1,1,0,1,0,3,1,0,0,0
35219,2965,N,Wage/Salaries,2,Male,45,Married,Worked for private establishment,Single Family,8,0,3,5,Single house,Strong,25,6,1,1,667242,264640,56034,39287,34743,44352,7074,11971,77240,1290,10400,4606,47844,12000,334,1770,12132,740,34074,0,0,18000,1,0,0,0,1,0,0,0,4,0,0,0,0
34620,2366,N,Wage/Salaries,2,Female,51,Married,Self-employed wihout any employee,Extended Family,6,1,0,3,Duplex,Strong,40,23,1,1,667054,259305,36433,21918,35906,20144,7117,7160,79150,2938,2896,13159,73140,12000,2582,43230,6594,0,48036,13780,0,170700,3,2,1,1,0,0,0,0,3,2,0,0,1
21710,1015,I,Wage/Salaries,0,Female,50,Single,Worked for private establishment,Extended Family,4,0,0,3,Single house,Strong,20,25,1,1,667000,187504,30405,11845,10638,7490,680,1254,124800,0,1560,28080,62268,42000,11308,46206,21300,0,71298,2000,0,0,1,0,0,0,1,1,1,0,3,0,0,0,0
25670,547,K,Wage/Salaries,0,Male,54,Married,Worked for government/government corporation,Single Family,4,0,0,3,Single house,Strong,45,19,3,1,666878,145057,17408,12460,22988,17198,9660,8576,33828,1650,3166,19081,65850,51000,1990,61098,23496,43400,59202,15600,0,3630,3,1,1,1,1,2,1,1,5,3,1,0,0
22963,2268,I,Other sources of Income,0,Male,61,Married,Self-employed wihout any employee,Single Family,3,0,0,1,Single house,Strong,65,14,3,1,666638,120895,16757,12356,100,28338,30476,21780,9050,0,0,20789,51474,12000,52285,27300,10752,0,112266,2500,0,5580,1,1,1,1,0,0,0,0,3,1,1,0,2
19357,2824,H,Wage/Salaries,0,Male,44,Married,Worked for government/government corporation,Single Family,4,0,2,2,Single house,Strong,30,10,1,1,666635,72944,15554,10630,22350,8411,2368,3880,6240,0,0,11300,62898,33000,31000,12120,2760,31000,61302,5000,0,0,1,1,0,1,1,1,0,0,1,2,0,0,1
15777,1463,G,Enterpreneurial Activities,1,Male,91,Widowed,,Single Family,3,0,0,1,Single house,Strong,70,29,3,1,666440,97465,29477,23840,7853,7401,1482,4733,24400,0,0,3766,85992,24000,16200,6210,5460,0,39888,44000,362180,362180,2,0,0,1,1,0,0,0,1,1,0,0,1
33813,1559,N,Other sources of Income,2,Female,61,Divorced/Separated,,Extended Family,6,0,0,1,Single house,Strong,400,59,3,1,666400,141751,31509,17960,19137,19070,9200,8176,26000,0,0,10015,167100,60000,3105,27996,21096,13500,27552,0,0,0,2,1,1,1,1,2,1,1,2,1,1,0,0
11539,462,F,Wage/Salaries,0,Male,63,Married,,Single Family,4,0,0,2,Single house,Light,80,20,4,1,666230,167654,19122,13870,5540,4899,4766,5305,105950,0,0,8300,79302,60000,169846,36162,16782,0,33024,4500,0,51700,1,0,0,1,1,1,0,1,5,2,2,0,1
20462,3929,H,Enterpreneurial Activities,0,Male,56,Married,Self-employed wihout any employee,Single Family,4,0,0,1,Single house,Strong,40,25,2,1,666212,111913,23842,15780,12144,21274,700,4733,35540,2356,11172,16110,57060,42000,522,6318,6618,0,19818,25400,0,415912,1,1,0,0,1,0,0,0,2,0,0,0,0
19344,2811,H,Wage/Salaries,0,Male,57,Married,Worked for private establishment,Extended Family,6,1,0,3,Single house,Strong,100,23,3,1,666043,133995,30760,19300,20492,17106,4579,5720,10490,180,8053,17513,72984,48000,94159,44046,21318,28390,30942,13840,0,0,1,0,1,1,0,0,0,1,4,1,0,0,0
37281,897,O,Other sources of Income,0,Female,50,Married,,Single Family,2,0,0,1,Duplex,Strong,70,15,3,1,666000,64922,20324,15385,4800,2191,9048,3595,13600,0,0,24258,172500,138000,330,11280,11394,0,41736,1000,0,0,1,0,0,1,1,2,1,0,3,1,0,0,0
37147,763,O,Wage/Salaries,0,Male,42,Married,Employer in own family-operated farm or business,Single Family,5,1,2,1,Single house,Strong,600,3,3,1,665550,153017,30389,23987,15610,15039,5140,6490,51665,1440,1720,21700,50748,36000,7070,32298,3720,23800,49668,18500,166195,169426,1,1,0,1,1,0,0,0,3,0,0,0,2
574,575,A,Wage/Salaries,0,Male,61,Married,,Single Family,5,0,1,2,Single house,Strong,65,37,4,1,665464,122585,34010,20400,21882,7768,1730,9782,18360,0,6335,3009,108630,81000,2645,14724,23820,4000,17532,5700,0,0,1,1,1,1,1,0,0,1,4,2,1,0,0
3933,427,C,Other sources of Income,0,Male,64,Married,Worked for government/government corporation,Single Family,6,0,1,2,Single house,Strong,120,21,3,1,665320,149871,23264,10962,26242,30240,4570,10815,22860,0,0,17990,145152,60000,32071,25440,19734,20100,20370,84320,117860,117860,1,1,1,1,1,1,1,0,5,1,1,0,0
11441,364,F,Other sources of Income,0,Female,55,Widowed,Self-employed wihout any employee,Extended Family,5,0,2,2,Single house,Strong,70,27,2,1,665240,120598,24795,17616,38755,8998,950,6761,20316,0,0,3770,63582,24000,317600,13200,9720,9750,47538,62500,0,78900,1,0,0,1,1,0,0,0,4,0,1,0,1
13618,2541,F,Enterpreneurial Activities,0,Male,55,Married,,Single Family,2,0,0,0,Single house,Strong,160,20,3,1,665004,50095,11335,7748,7836,6860,1365,4204,5400,0,0,3410,81348,60000,10734,9798,1650,0,18372,12800,0,430000,0,3,1,0,1,1,2,2,0,2,0,0,0
8010,1653,D,Other sources of Income,0,Female,59,Widowed,Worked for private household,Extended Family,9,2,2,3,Single house,Strong,50,1,3,1,664844,70103,34947,24576,5292,5241,784,2699,6480,6240,390,450,43200,24000,2890,4008,1008,470,27042,15000,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
16295,1981,G,Other sources of Income,0,Male,69,Married,,Extended Family,5,0,0,1,Single house,Strong,80,17,3,1,664352,140186,27598,21050,29760,21252,7085,8830,17900,0,0,4400,95856,60000,8290,25254,13200,69500,10254,6000,0,55100,1,1,0,1,1,0,0,0,4,1,1,0,1
12171,1094,F,Wage/Salaries,0,Male,48,Married,Self-employed wihout any employee,Extended Family,8,0,2,4,Single house,Strong,40,10,2,1,664259,245067,43425,29911,43740,19311,4665,12151,104850,0,12851,16760,34002,12000,7086,10704,12738,36750,33486,25800,0,250340,1,0,0,1,1,0,0,0,8,1,1,0,2
35541,3287,N,Other sources of Income,2,Male,58,Married,,Single Family,6,0,2,0,Single house,Strong,93,33,2,1,664209,170271,43025,29100,32305,23632,5727,8082,29800,4160,2576,11925,134220,90000,10739,13866,15636,67290,15384,0,0,0,2,2,1,1,1,0,0,1,3,1,0,0,0
8321,1964,D,Other sources of Income,0,Female,56,Married,,Extended Family,6,0,0,0,Single house,Strong,56,20,3,1,664191,249851,45571,25360,66979,51049,4820,16436,9050,946,0,19965,59304,12000,14108,16314,19494,2025,33774,0,0,0,3,2,1,1,1,1,0,0,8,4,2,0,0
31119,1213,M,Other sources of Income,0,Male,53,Married,,Extended Family,10,2,1,3,Single house,Strong,100,60,2,1,664166,151997,40214,29500,11946,7917,3750,6560,17450,0,0,9847,52602,15000,4420,9294,14640,16400,54762,4408,0,21398,1,1,1,1,1,0,0,0,7,1,0,0,0
35728,3474,N,Other sources of Income,2,Male,74,Married,,Extended Family,5,0,2,1,Single house,Strong,45,21,3,1,663944,257462,72844,30999,31706,6611,7846,11112,93040,280,1632,9490,95742,60000,1757,32196,2970,2619,25932,23000,0,16000,1,1,0,1,1,0,0,0,3,1,0,0,0
5164,1658,C,Wage/Salaries,0,Male,74,Married,,Single Family,4,0,0,2,Single house,Strong,40,45,3,1,663930,138972,28628,18070,24850,30275,8735,7415,26000,8869,0,5475,120900,90000,3000,6696,7200,0,19320,11000,0,0,2,1,0,1,0,2,1,0,2,0,1,0,1
22426,1731,I,Enterpreneurial Activities,0,Male,35,Married,Self-employed wihout any employee,Extended Family,7,2,1,1,Single house,Quite Strong,40,20,1,1,663746,72060,19988,9490,7225,6676,2965,4125,17200,731,2896,4638,17424,9600,738,13194,1500,3899,10440,11500,3090,606990,1,1,0,1,0,0,1,0,2,0,0,0,2
35480,3226,N,Wage/Salaries,2,Male,54,Married,Self-employed wihout any employee,Single Family,7,0,3,2,Single house,Strong,44,25,1,1,663272,237683,42876,13040,42475,23028,4480,16470,45550,0,10860,8790,112890,72000,3341,14736,10608,1900,38490,450,0,173722,1,1,1,1,1,0,0,0,3,0,0,0,0
18276,1743,H,Wage/Salaries,0,Male,37,Married,Self-employed wihout any employee,Single Family,5,1,2,1,Single house,Strong,200,6,2,1,663174,181720,40595,12613,27100,10476,2149,8982,54660,0,0,14200,119268,90000,4588,14484,17994,19600,82800,0,0,232920,3,0,0,1,1,1,0,1,2,5,0,0,0
6579,222,D,Wage/Salaries,0,Male,58,Married,Worked for government/government corporation,Extended Family,8,2,0,4,Single house,Strong,72,23,3,1,663068,222352,63256,23034,21233,21464,9535,8973,21750,726,2715,15909,63180,24000,26560,10416,30960,35220,13044,33000,0,0,1,3,0,1,1,1,0,1,6,1,2,0,1
13650,2573,F,Wage/Salaries,0,Male,61,Married,Self-employed wihout any employee,Extended Family,9,2,1,3,Single house,Strong,70,65,3,1,663000,176638,37952,33000,32744,18440,3404,5180,54850,222,3744,17220,71880,21000,4777,50142,16602,50000,19650,5000,0,102000,2,0,0,1,1,1,0,0,1,1,1,0,0
33526,1272,N,Wage/Salaries,2,Male,64,Widowed,,Single Family,3,0,0,2,Single house,Strong,300,55,2,1,663000,124356,3220,2392,2824,2225,405,500,106750,1080,9320,9974,274566,240000,6000,41166,25878,14000,35250,6000,0,0,1,1,0,0,1,1,1,0,3,1,0,0,0
24092,856,J,Other sources of Income,0,Female,73,Widowed,,Extended Family,4,0,3,0,Single house,Strong,200,38,2,1,662936,103324,27295,16974,28428,5398,3323,3489,22244,210,0,6880,115608,84000,19231,33888,7314,23450,18996,14800,0,0,0,1,0,1,1,2,0,0,4,3,2,0,0
34336,2082,N,Wage/Salaries,2,Male,51,Married,Worked for government/government corporation,Extended Family,5,2,0,3,Single house,Strong,60,53,1,1,662588,164844,26702,11873,21133,12697,4000,8844,46020,204,0,15535,99558,60000,44573,40596,52308,0,72642,10000,0,0,1,1,0,1,1,0,0,1,3,3,0,0,1
15028,714,G,Other sources of Income,0,Male,18,Single,,Extended Family,3,0,2,0,Multi-unit residential,Strong,745,12,9,1,662486,186531,22398,17604,47199,28273,4779,11514,37320,494,520,44400,165972,120000,21431,29928,40254,40719,57642,75000,0,61500,3,1,4,1,1,3,1,0,2,2,0,0,2
19149,2616,H,Wage/Salaries,0,Male,37,Married,Worked for government/government corporation,Single Family,4,1,1,2,Single house,Strong,100,29,3,1,662358,221683,28581,14725,27392,18360,7330,9665,50020,150,0,19300,93072,60000,35287,102444,12900,23160,78570,62000,0,0,1,1,1,1,1,0,1,0,2,2,1,0,1
11987,910,F,Other sources of Income,0,Female,80,Widowed,,Extended Family,5,0,3,0,Single house,Strong,60,5,5,1,662212,176867,35748,23069,21782,18415,11959,18064,31597,2309,0,37980,134304,102000,24526,45954,7134,109250,11262,5300,0,0,1,0,1,1,2,1,0,0,3,4,1,0,1
11347,270,F,Enterpreneurial Activities,0,Male,58,Married,Self-employed wihout any employee,Extended Family,5,1,1,0,Single house,Strong,200,1,3,1,662098,214223,33332,10062,46808,29388,10360,14820,37667,0,7618,4200,194520,120000,10112,19302,12780,33000,40392,7000,0,450098,1,1,0,1,1,2,1,0,2,1,1,0,1
5767,2261,C,Wage/Salaries,0,Male,48,Married,Worked for private establishment,Extended Family,7,0,2,1,Single house,Strong,54,17,3,1,661999,146708,48714,39830,22519,24820,3515,10240,11172,5898,4660,33405,87030,30000,16595,24390,16794,27700,42234,13000,0,183592,3,3,0,3,0,0,1,0,6,2,2,0,1
11969,892,F,Other sources of Income,0,Male,73,Married,,Extended Family,12,0,5,3,Duplex,Strong,130,18,6,1,661851,276914,51917,40517,32479,20950,4029,15926,106723,0,0,11225,118200,84000,13850,45270,17574,108051,16602,2650,0,0,2,1,1,1,1,2,1,0,3,1,0,0,1
528,529,A,Wage/Salaries,0,Male,54,Married,Self-employed wihout any employee,Single Family,6,0,0,3,Duplex,Strong,100,15,5,1,661700,118147,24783,14424,22424,12932,3254,10975,21290,1099,1300,8259,96690,48000,18398,17214,24630,24790,23934,4000,0,76000,1,1,0,1,1,0,1,0,5,1,0,0,0
20562,4029,H,Other sources of Income,0,Male,64,Married,,Single Family,2,0,0,0,Single house,Strong,80,30,4,1,661694,109002,12790,6290,19591,14389,11345,8228,7290,0,0,5099,134148,60000,85020,83856,20304,0,23316,12000,0,0,1,0,1,1,1,1,1,1,2,0,1,0,0
11329,252,F,Enterpreneurial Activities,0,Male,49,Married,Self-employed wihout any employee,Single Family,5,0,1,1,Single house,Strong,30,23,2,1,661678,141321,24936,13400,15534,19002,5740,9335,38433,1820,13575,16700,61650,36000,9988,13146,18852,9800,32556,12000,327200,447198,2,0,1,1,1,0,0,0,5,1,1,0,2
19109,2576,H,Wage/Salaries,0,Male,35,Single,Worked for private establishment,Single Family,2,0,0,2,Multi-unit residential,Strong,45,15,2,1,661516,140832,25128,13150,28428,9691,5486,7061,41860,0,0,4825,38760,0,7581,59310,9444,0,31908,8000,0,0,1,0,0,1,1,0,0,0,3,1,0,0,0
25677,554,K,Other sources of Income,0,Female,40,Married,Self-employed wihout any employee,Single Family,3,0,2,0,Single house,Strong,150,21,5,1,661255,166624,39487,25800,24423,18251,6055,13022,15642,0,0,27317,158172,120000,4270,16434,10500,56900,21408,17500,0,19320,3,1,1,2,1,3,0,1,3,4,1,0,0
30156,250,M,Other sources of Income,0,Female,69,Widowed,,Extended Family,6,0,2,2,Single house,Strong,5,37,3,1,661245,162595,34980,23335,20392,20222,5445,9431,15520,0,0,13095,50118,31200,10777,46668,7440,680,29028,15950,26000,26000,1,1,1,1,1,0,0,0,7,1,0,0,2
40766,1011,Q,Wage/Salaries,0,Female,43,Married,Worked for government/government corporation,Single Family,4,0,2,1,Single house,Strong,80,15,3,1,661119,163205,53426,32482,31340,18987,6020,13369,1600,89,180,10711,79560,60000,6862,16764,10134,2008,42822,43540,0,171700,1,1,1,1,1,0,0,0,2,4,1,0,1
14722,408,G,Enterpreneurial Activities,0,Male,50,Married,Employer in own family-operated farm or business,Extended Family,8,2,0,2,Single house,Strong,128,15,3,1,661010,90692,32629,24900,6039,3944,1850,5718,4600,2940,0,2850,59508,42000,840,15480,7380,0,17100,16000,148550,406410,3,1,1,1,1,0,0,0,9,1,0,0,1
7449,1092,D,Wage/Salaries,0,Male,52,Married,Employer in own family-operated farm or business,Single Family,3,0,0,1,Single house,Strong,80,17,3,1,660996,117267,20693,13407,10392,17369,4674,4311,34700,1440,480,13873,37932,18000,13185,28344,9354,0,91008,25260,0,37430,1,1,1,1,1,0,1,0,5,3,1,0,0
2663,939,B,Wage/Salaries,0,Male,39,Married,Worked for private establishment,Extended Family,8,0,4,1,Single house,Strong,35,5,4,1,660987,276715,51040,28568,58445,18428,29184,5670,60670,3575,0,20579,45522,18000,25213,14316,10704,22850,31350,28300,0,60085,1,0,0,1,0,0,0,0,4,0,0,0,1
23099,2404,I,Wage/Salaries,0,Male,53,Single,Worked for government/government corporation,Extended Family,4,0,0,2,Single house,Strong,50,25,3,1,660902,94778,22522,16950,26534,6770,8485,6121,3360,312,0,13267,155868,36000,5838,26838,42498,0,53244,0,0,10200,2,1,0,1,1,0,0,1,4,0,1,0,3
18074,1541,H,Other sources of Income,0,Female,42,Married,Worked for government/government corporation,Single Family,3,0,1,2,Single house,Strong,90,21,2,1,660880,153752,23825,15192,36868,11772,9512,8344,28430,0,0,15830,87780,60000,390,30126,17862,26230,53754,11000,0,0,2,1,1,1,1,1,0,0,4,2,1,0,0
32865,611,N,Wage/Salaries,2,Male,52,Single,Worked for private establishment,Extended Family,4,0,0,2,Single house,Strong,72,17,3,1,660848,137440,36825,21849,28805,8580,2938,5439,35550,1520,0,19150,191460,0,675,24492,25098,66500,36780,3000,0,0,1,1,1,1,1,1,1,0,5,1,1,0,0
28998,1429,L,Wage/Salaries,0,Male,54,Married,Worked for private establishment,Single Family,9,0,2,4,Single house,Strong,112,1,0,1,660785,126871,31644,25884,18372,11010,2070,4375,39220,210,6470,2212,50904,36000,4441,51804,2598,9300,33948,2000,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1
1962,238,B,Enterpreneurial Activities,1,Male,49,Married,Self-employed wihout any employee,Single Family,4,0,1,0,Single house,Strong,471,23,4,1,660738,114838,37839,31500,9536,17902,1975,2490,20260,0,0,11305,65370,36000,8070,41334,11040,119700,11442,23500,450000,504588,1,1,1,1,1,1,0,0,2,0,0,0,1
2748,1024,B,Other sources of Income,0,Female,36,Married,Worked for government/government corporation,Single Family,5,1,2,1,Single house,Strong,36,10,2,1,660724,99904,30684,21000,14450,15523,3297,3138,7620,0,0,9715,47760,21000,2810,9054,5022,620,25422,35500,0,0,2,1,0,1,1,1,0,0,2,3,0,0,1
12051,974,F,Enterpreneurial Activities,0,Male,43,Married,Self-employed wihout any employee,Single Family,5,0,3,1,Single house,Strong,130,9,3,1,660213,190498,37318,28236,34236,16184,6176,10919,33320,2119,0,34680,45726,24000,2222,42780,13140,6170,22632,32100,0,324900,2,2,0,1,1,0,0,0,5,1,1,0,4
32931,677,N,Wage/Salaries,2,Male,48,Married,Worked for private establishment,Single Family,5,0,0,4,Multi-unit residential,Strong,40,33,2,1,660096,266870,24809,10020,43785,23857,11948,7121,117600,1105,5430,16945,78372,15000,4815,53430,39666,5630,51360,5260,0,0,1,1,1,1,1,0,0,0,6,1,1,0,0
17175,642,H,Other sources of Income,0,Female,34,Married,,Extended Family,5,0,3,1,Single house,Strong,40,22,1,1,660000,126204,19962,14100,27630,12052,4761,3420,32350,3600,0,3095,55992,0,3932,16554,5676,31575,13800,15000,0,0,1,0,0,1,1,0,0,0,5,2,0,0,1
27069,1946,K,Enterpreneurial Activities,1,Male,33,Married,Employer in own family-operated farm or business,Single Family,5,0,3,0,Single house,Strong,23,7,3,1,659869,129360,33855,16722,18304,40944,2082,8846,0,1350,0,7605,27882,6000,85,3000,864,2180,5280,3500,0,650134,1,1,0,2,1,0,0,0,3,0,1,0,0
35486,3232,N,Wage/Salaries,2,Female,37,Divorced/Separated,Worked for private establishment,Extended Family,9,1,1,4,Duplex,Strong,46,25,1,1,659542,245936,29497,15465,15284,11154,5728,10844,121335,3572,1014,8365,122166,0,2213,44514,12948,2800,52260,2055,0,0,2,1,0,1,1,0,0,0,7,1,0,0,0
34031,1777,N,Other sources of Income,2,Female,61,Single,,Single Family,1,0,0,0,Single house,Strong,120,55,3,1,659502,76144,19571,14950,9650,5712,3780,5602,12500,0,0,12050,288960,210000,1800,26004,28494,0,39138,7000,0,0,2,1,1,1,1,1,1,1,1,1,1,0,0
32208,2302,M,Other sources of Income,0,Female,32,Married,Worked for private establishment,Extended Family,5,1,1,2,Single house,Strong,80,19,5,1,659465,144795,27987,19395,10428,10752,1695,5095,29610,0,0,7750,87060,36000,7468,24930,17178,64720,53550,8530,0,10920,3,1,1,1,1,1,1,1,4,3,1,0,0
22878,2183,I,Enterpreneurial Activities,1,Male,50,Married,Self-employed wihout any employee,Single Family,3,0,1,1,Single house,Strong,117,3,3,1,659300,72566,23042,12780,23080,9992,740,5505,510,3800,3620,10750,89370,30000,341,8598,1560,70,6462,2600,554390,554390,1,1,0,0,1,0,0,0,2,0,1,0,2
17213,680,H,Wage/Salaries,0,Female,47,Divorced/Separated,,Extended Family,10,1,2,5,Single house,Strong,100,39,3,1,659278,253044,76361,66820,33202,25870,3620,9070,50690,2320,5590,7080,88026,63000,648,17664,13260,850,64260,6000,0,29868,1,0,0,0,1,0,0,0,6,1,0,0,0
34314,2060,N,Other sources of Income,2,Female,60,Married,Self-employed wihout any employee,Extended Family,10,1,4,3,Single house,Strong,65,29,5,1,658998,265487,44649,22180,44143,24250,13079,15531,86923,0,4525,24630,157560,102000,7472,126018,9882,73880,79620,27050,0,21240,3,2,0,1,1,1,1,0,6,2,0,0,1
35408,3154,N,Enterpreneurial Activities,2,Female,54,Widowed,Self-employed wihout any employee,Single Family,4,0,1,0,Single house,Strong,45,6,2,1,658398,184637,55862,25050,10079,3628,7006,588,87460,0,240,13800,160458,0,910,24396,21900,47140,20460,0,0,537198,2,1,1,1,1,1,0,1,4,1,0,0,0
21277,582,I,Other sources of Income,0,Male,80,Widowed,,Extended Family,4,0,0,0,Single house,Strong,39,11,2,1,658340,75985,28348,8682,10966,10240,1134,4600,2340,1130,4073,770,50028,30000,2249,10860,300,1014,4926,4500,65320,74420,1,0,0,0,0,0,0,0,0,0,0,0,1
5413,1907,C,Other sources of Income,0,Male,73,Married,Employer in own family-operated farm or business,Extended Family,3,0,1,0,Single house,Strong,130,10,3,1,658300,176130,29512,15800,29718,24059,8676,10275,33200,0,0,20294,94890,60000,14916,39210,27000,71500,25308,10000,27490,27490,1,1,0,1,1,1,2,1,3,1,1,0,1
18986,2453,H,Other sources of Income,0,Female,71,Widowed,,Extended Family,2,0,0,0,Single house,Strong,300,30,3,1,658143,146119,20574,12806,30355,21758,9759,9025,31900,0,0,12300,196698,150000,11640,32760,21600,28800,24048,75000,0,0,3,1,0,2,1,2,1,1,1,2,1,0,1
38616,983,P,Wage/Salaries,0,Male,55,Married,Worked for private establishment,Extended Family,8,1,2,2,Duplex,Strong,22,13,3,1,658122,133512,58357,47013,8468,10864,3298,9140,27138,2143,4660,8929,70986,21000,1620,33084,13620,33000,62436,28800,0,142422,2,2,0,1,1,1,1,0,6,1,0,0,0
21862,1167,I,Other sources of Income,0,Male,49,Married,Worked for private establishment,Single Family,4,0,0,2,Duplex,Strong,150,20,2,1,657745,253363,64317,32500,39124,37866,9620,18467,46375,0,0,27225,60234,18600,63952,90390,14400,68280,18684,13300,0,2700,1,0,0,1,1,1,0,0,3,3,1,0,1
3891,385,C,Wage/Salaries,0,Female,55,Married,Worked for government/government corporation,Single Family,2,0,0,1,Single house,Strong,210,45,3,1,657657,97883,22904,13260,2589,21678,11336,5884,18060,1374,0,7144,72684,36000,75548,18840,4920,54718,201546,15280,0,9682,1,1,0,1,0,0,0,0,3,0,1,0,0
31955,2049,M,Wage/Salaries,0,Female,68,Divorced/Separated,,Extended Family,4,0,2,1,Duplex,Strong,150,27,3,1,657170,125908,17290,11996,20720,11185,5255,10890,36250,0,0,16648,51006,18000,0,55116,13854,66300,72984,1051,0,0,1,0,0,2,1,1,1,0,6,5,1,0,1
6735,378,D,Other sources of Income,0,Male,61,Married,Worked for government/government corporation,Extended Family,3,0,1,1,Single house,Strong,100,3,4,1,656748,98525,23858,12440,12993,15716,13905,6825,1630,4420,0,3850,39402,18000,16559,14664,1140,700,6996,22400,82808,282606,1,0,0,1,0,0,0,0,1,0,1,0,1
15134,820,G,Wage/Salaries,0,Male,55,Married,Employer in own family-operated farm or business,Extended Family,6,1,0,2,Single house,Strong,105,20,2,1,656730,172848,33159,20388,16470,13568,2750,6803,54200,2560,0,14280,46128,12000,15663,15276,2736,7810,53460,10700,0,127600,1,1,0,1,1,1,0,0,0,1,0,0,2
33821,1567,N,Wage/Salaries,2,Female,56,Widowed,,Extended Family,5,0,1,2,Single house,Strong,256,57,2,1,656372,166508,18231,11360,17584,14389,8975,8370,72200,0,0,25850,169140,120000,3501,97998,28140,6500,32238,0,0,0,1,1,0,1,1,0,0,1,3,1,0,0,0
2964,1240,B,Other sources of Income,0,Male,43,Married,Worked for government/government corporation,Single Family,3,0,1,2,Single house,Strong,100,55,3,1,656312,199211,31798,25800,23536,63981,13070,13898,22983,0,7964,29842,53826,24000,41541,23880,6708,20900,27282,12800,59080,149502,2,1,1,2,1,2,1,0,3,1,1,0,1
27669,100,L,Other sources of Income,0,Female,76,Widowed,,Single Family,3,0,0,2,Single house,Strong,140,4,3,1,656266,105445,27962,19548,15715,17001,4025,11400,120,715,7240,4435,100296,72000,10054,8076,2016,44500,8160,20000,0,105928,1,1,1,1,0,0,0,0,0,0,0,0,1
8273,1916,D,Wage/Salaries,0,Female,59,Widowed,Self-employed wihout any employee,Extended Family,3,0,0,2,Single house,Strong,76,3,4,1,656133,145469,33361,18263,23460,21045,9827,13479,13810,0,0,12215,54060,36000,129369,26694,7800,0,91998,23000,0,2862,1,1,1,1,0,0,0,0,3,1,1,0,2
2384,660,B,Enterpreneurial Activities,0,Male,39,Married,Self-employed wihout any employee,Extended Family,6,1,2,1,Single house,Strong,75,8,3,1,656099,173734,44681,39555,54496,9038,3580,7536,6133,0,0,19905,51258,15600,25920,127062,1710,400,13770,27000,0,628462,1,1,1,1,1,1,0,0,1,1,1,0,1
5286,1780,C,Wage/Salaries,0,Male,49,Married,Self-employed wihout any employee,Single Family,4,0,0,2,Single house,Strong,78,18,4,1,655640,175176,27184,17960,34612,15954,10237,5760,66898,0,0,40897,59718,24000,92950,19818,18360,78000,41538,0,0,145000,2,1,1,1,2,0,0,1,4,2,1,0,0
